name,row,mean,se,distribution,lower_bound,upper_bound,ln_mean,ln_sd,description,source
p_relapse_rate_primary_outcome_soc_year_1,432,0.85,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_soc_year_2n5,433,0.375,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_soc_year_6nbeyond,434,0.1875,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_quit_rate_soc,435,0.028225806451612902,,,,,,,half of the quit rate than the general population,
p_relapse_rate_quit_soc__year_1,436,0.85,,,,,,,"https://link.springer.com/article/10.1007/s40263-020-00701-z, within 6 month it reduced from 7% to 2%  about 70% relapse",
p_relapse_rate_quit_soc_year2_5,437,0.375,,,,,,,,
p_relapse_rate_quit_soc_year5nabove,438,0.1875,,,,,,,,
p_relapse_rate_quit_soc__disease_state,439,0.375,,,,,,,,
p_reduced_to_quit_rate_soc,440,0.028225806451612902,,,,,,,half of the quit rate than the general population,
p_relapse_rate_quit_to_reduced_soc_year1,441,0.85,,,,,,,,
p_relapse_rate_quit_to_reduced_soc_year2_5,442,0.375,,,,,,,,
p_relapse_rate_quit_to_reduced_soc_year5nabove,443,0.1875,,,,,,,,
p_relapse_rate_quit_to_reduced_soc_disease_state,444,0.375,,,,,,,"assuming that if they quit once they are in the disease state, they are more aware and more willing",
p_primary_outcome_NRT,446,0.17037037037037037,0.034074074074074076,Beta,20.570370370370366,100.16876006441223,0.10358518518518518,0.23715555555555556,from RCT data ,
p_relapse_rate_primary_outcome_NRT,447,0.05,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_NRT_year_1,448,0.1,0.020000000000000004,Beta,22.39999999999999,201.5999999999999,0.0608,0.13920000000000002,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_NRT_year_2n5,449,0.05,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_NRT_year_6nbeyond,450,0.025,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_quit_rate_NRT,451,0.1259259259259259,0.025185185185185185,Beta,21.72592592592592,150.80348583877995,0.07656296296296294,0.17528888888888888,"similar, around 11 or 8.3% from other studies ",
p_relapse_rate_quit_NRT__year_1,452,0.1,,,,,,,,
p_relapse_rate_quit_NRT_year2_5,453,0.05,,,,,,,,
p_relapse_rate_quit_NRT_year5nabove,454,0.025,,,,,,,,
p_relapse_rate_quit_NRT__disease_state,455,0.05,,,,,,,,
p_reduced_to_quit_rate_NRT,456,0.1259259259259259,,,,,,,,
p_relapse_rate_quit_to_reduced_NRT_year1,457,0.1,,,,,,,,
p_relapse_rate_quit_to_reduced_NRT_year2_5,458,0.05,,,,,,,,
p_relapse_rate_quit_to_reduced_NRT_year5nabove,459,0.025,,,,,,,,
p_relapse_rate_quit_to_reduced_NRT_disease_state,460,0.05,,,,,,,,
p_primary_outcome_NRT_once_year_one,463,0.05111111111111111,,,,,,,"abt 62.5% of those abstinent at 12 weeks remains abstinent at the end of the treatment from the general population, but for our group we consider the effectiveness to be half of that seen among the general population i.e. 30%","https://onlinelibrary.wiley.com/doi/10.1111/add.14549#:~:text=At%2052%20weeks%2C%20abstinence%20rates,8.9%25%20modelled)%20for%20placebo."
p_primary_outcome_NRT_once,464,0.014112903225806451,0.0028225806451612906,Beta,24.633064516129025,1720.795506912442,0.008580645161290323,0.01964516129032258,from RCT data ,
p_relapse_rate_primary_outcome_NRT_once,465,0.375,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_NRT_once_year_1,466,0.75,0.15000000000000002,Beta,5.499999999999998,1.8333333333333326,0.45599999999999996,1.044,"assumption, similar to relapse rate from cessation for the first year",
p_relapse_rate_primary_outcome_NRT_once_year_2n5,467,0.375,,,,,,,"assumption, similar to relapse rate from cessation for the first year",
